process,ans,r,lambda,epoch,n
5449,-459.9999971,0.68054428,0.933077377,114,1
5446,-459.9999957,0.680543555,0.933079251,114,1
5448,-459.9999954,0.680538624,0.933073263,114,1
5451,-459.9999953,0.680538533,0.933072213,114,1
5452,-459.9999952,0.680538665,0.933071412,114,1
5444,-459.9999952,0.680538559,0.933071148,114,1
5450,-459.9999951,0.680538699,0.933072407,114,1
5444,-459.999995,0.680538695,0.933076887,114,1
5451,-459.9999949,0.680543644,0.933069817,114,1
5449,-459.9999947,0.680538666,0.933072266,114,1
5453,-459.9999942,0.680538452,0.933071564,114,1
5452,-459.9999936,0.680538328,0.933074829,114,1
5451,-459.9999935,0.680538353,0.933075842,114,1
5444,-459.9999934,0.680538376,0.933075506,114,1
5452,-459.9999922,0.680542495,0.933071951,114,1
5451,-459.9999917,0.680540275,0.933078657,114,1
5452,-459.9999916,0.680540377,0.933078778,114,1
5452,-459.9999913,0.680544449,0.933070743,114,1
5450,-459.9999913,0.680544309,0.933072868,114,1
5446,-459.9999909,0.680544357,0.93307414,114,1
5448,-459.9999906,0.680538262,0.93307419,114,1
5446,-459.9999903,0.680537877,0.933071917,114,1
5448,-459.9999902,0.680537826,0.933072327,114,1
5450,-459.9999899,0.680541235,0.933071676,114,1
5444,-459.9999899,0.680541187,0.933078377,114,1
5452,-459.9999899,0.68053654,0.933069841,114,1
5447,-459.9999898,0.680536542,0.933073956,114,1
5449,-459.9999897,0.680536566,0.933076055,114,1
5447,-459.9999896,0.680543364,0.933070413,114,1
5451,-459.9999893,0.680536549,0.933078422,114,1
5445,-459.9999891,0.680544726,0.933070266,114,1
5445,-459.9999888,0.68054093,0.933072191,114,1
5449,-459.9999887,0.680537398,0.933069885,114,1
5450,-459.9999887,0.680537348,0.933071789,114,1
5448,-459.9999887,0.680543349,0.933075719,114,1
5448,-459.9999884,0.680536599,0.933071088,114,1
5450,-459.9999882,0.680537441,0.933078669,114,1
5451,-459.9999881,0.680540014,0.933074628,114,1
5453,-459.9999879,0.680536521,0.933079102,114,1
5452,-459.9999876,0.680541226,0.933078436,114,1
5448,-459.9999875,0.680540633,0.933074185,114,1
5449,-459.9999873,0.680537383,0.933075925,114,1
5448,-459.9999872,0.680536589,0.933070943,114,1
5445,-459.9999871,0.680543493,0.933071822,114,1
